Csörgőfa sor 8. - KTJ:100882646;;;Csörgőfa sor 8. - KTJ:100882646;
GY/40/05399-21,24/2021;;;GY-02/13/01969-13/2020;
Hulladék kód;Hulladék megnevezés;;Hulladék kód;Hulladék megnevezés
01 05 04;édesvíz diszperziós közegének fúrásából származó iszap és hulladék;;08 01 19*;szerves oldószereket, valamint más veszélyes anyagokat tartalmazó festék vagy lakk tartalmú vizes szuszpenziók
01 05 05*;olajtartalmú fúróiszap és hulladék;;;
01 05 06*;veszélyes anyagokat tartalmazó fúróiszap és egyéb hulladék;;;
01 05 99;közelebbről meg nem határozott hulladék;;;
03 03 11;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap, amely különbözik a 03 03 10-től;;;
03 03 99;közelebbről meg nem határozott hulladék;;;
04 01 05;krómot nem tartalmazó cserzőlé;;;
05 01 05*;kiömlött olaj;;;
05 01 11*;tüzelőanyagok lúgos tisztításából származó hulladék;;;
05 01 12*;savas olaj;;;
05 01 14;hűtőtornyok hulladéka;;;
06 01 01*;kénsav és kénessav;;;
06 01 02*;sósav;;;
06 01 03*;folysav (hidrogén-fluorid);;;
06 01 04*;foszforsav és foszforossav;;;
06 01 05*;salétromsav és salétromossav;;;
06 01 06*;egyéb sav;;;
06 02 01*;kalcium-hidroxid;;;
06 02 03*;ammónium-hidroxid;;;
06 02 04*;nátrium- és kálium-hidroxid;;;
06 02 05*;egyéb lúg;;;
06 04 99;közelebbről meg nem határozott hulladék;;;
06 10 02*;veszélyes anyagokat tartalmazó hulladék;;;
06 10 99;közelebbről meg nem határozott hulladék;;;
07 01 01*;vizes mosófolyadék és anyalúg;;;
07 01 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 01 99;közelebbről meg nem határozott hulladék;;;
07 02 01*;vizes mosófolyadék és anyalúg;;;
07 02 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 02 08*;egyéb üstmaradék és reakciómaradék;;;
07 02 14*;veszélyes anyagokat tartalmazó adalékanyag hulladék;;;
07 02 15;adalékanyag hulladék, amely különbözik a 07 02 14-től;;;
07 02 16*;veszélyes szerves szilíciumvegyületeket tartalmazó hulladék;;;
07 03 01*;vizes mosófolyadék és anyalúg;;;
07 03 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 04 01*;vizes mosófolyadék és anyalúg;;;
07 04 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 05 01*;vizes mosófolyadék és anyalúg;;;
07 05 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 06 01*;vizes mosófolyadék és anyalúg;;;
07 06 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 07 01*;vizes mosófolyadék és anyalúg;;;
07 07 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
08 01 11*;szerves oldószereket vagy más veszélyes anyagokat tartalmazó festék- és lakk-hulladék;;;
08 01 12;festék- vagy lakk-hulladék, amely különbözik a 08 01 11-től;;;
08 01 15*;szerves oldószereket vagy más veszélyes anyagokat tartalmazó festék és lakk tartalmú vizes iszap;;;
08 01 17*;festékek és lakkok eltávolításából származó, szerves oldószereket vagy egyéb veszélyes anyagokat tartalmazó hulladék;;;
08 01 18;festékek és lakkok eltávolításából származó hulladék, amely különbözik a 08 01 17-től;;;
08 01 19*;szerves oldószereket, valamint más veszélyes anyagokat tartalmazó festék vagy lakk tartalmú vizes szuszpenziók;;;
08 01 20;festék, lakk tartalmú vizes szuszpenziók, amelyek különböznek a 08 01 19-től;;;
08 03 07;nyomdafestéket tartalmazó vizes iszap;;;
08 03 08;nyomdafestéket tartalmazó vizes folyékony hulladék;;;
08 03 12*;veszélyes anyagokat tartalmazó nyomdafesték hulladék;;;
08 03 13;nyomdafesték hulladék, amely különbözik a 08 03 12-től;;;
08 03 16*;hulladékká vált gravírozó oldat;;;
08 03 19*;diszpergált olaj;;;
08 04 09*;szerves oldószereket vagy más veszélyes anyagokat tartalmazó ragasztók, tömítőanyagok hulladéka;;;
08 04 13*;szerves oldószereket vagy más veszélyes anyagokat tartalmazó ragasztók, tömítőanyagok vizes iszapja;;;
08 04 14;ragasztók, tömítőanyagok vizes iszapja, amely különbözik a 08 04 13-tól;;;
08 04 15*;szerves oldószereket vagy más veszélyes anyagokat, valamint ragasztókat, tömítőanyagokat tartalmazó vizes folyékony hulladék;;;
08 04 16;ragasztókat, tömítőanyagokat tartalmazó folyékony vizes hulladék, amely különbözik a 08 04 15-től;;;
08 04 17*;gyantaolaj;;;
09 01 01*;vizes alapú előhívó- és aktiváló oldat;;;
09 01 02*;vizes alapú ofszetlemez előhívó oldat;;;
09 01 03*;oldószer alapú előhívó oldat;;;
09 01 04*;rögzítő (fixír) oldat;;;
09 01 05*;halványító oldat és halványító rögzítő fixír oldat;;;
10 01 09*;kénsav;;;
10 01 18*;gázok tisztításából származó, veszélyes anyagokat tartalmazó hulladék;;;
10 01 20*;a folyékony hulladéknak a képződése helyén történő kezeléséből származó, veszélyes anyagokat tartalmazó iszap;;;
10 01 26;hűtővíz kezeléséből származó hulladék;;;
10 01 99;közelebbről meg nem határozott hulladék;;;
10 02 11*;hűtővíz kezeléséből származó, olajat tartalmazó hulladék;;;
10 02 12;hűtővíz kezeléséből származó hulladék, amely különbözik a 10 02 11-től;;;
10 03 27*;hűtővíz kezeléséből származó, olajat tartalmazó hulladék;;;
10 03 28;hűtővíz kezeléséből származó hulladék, amely különbözik a 10 03 27-től;;;
10 05 08*;hűtővíz kezeléséből származó, olajat tartalmazó hulladék;;;
10 05 09;hűtővíz kezeléséből származó hulladék, amely különbözik a 10 05 08-tól;;;
10 06 09*;hűtővíz kezeléséből származó, olajat tartalmazó hulladék;;;
10 06 10;hűtővíz kezeléséből származó hulladék, amely különbözik a 10 06 09-től;;;
10 07 07*;hűtővíz kezeléséből származó, olajat tartalmazó hulladék;;;
10 07 08;hűtővíz kezeléséből származó hulladék, amely különbözik a 10 07 07-től;;;
10 08 19*;hűtővíz kezeléséből származó, olajat tartalmazó hulladék;;;
10 08 20;hűtővíz kezeléséből származó hulladék, amely különbözik a 10 08 19-től;;;
10 11 13*;veszélyes anyagokat tartalmazó üvegcsiszolási és polírozási iszap;;;
11 01 05*;reve eltávolítására használt sav;;;
11 01 06*;közelebbről meg nem határozott sav;;;
11 01 07*;pácolásra használt lúg;;;
11 01 11*;veszélyes anyagokat tartalmazó öblítő- és mosóvíz;;;
11 01 12;öblítő- és mosóvíz, amely különbözik a 11 01 11-től;;;
11 01 13*;veszélyes anyagokat tartalmazó zsírtalanítási hulladék;;;
11 01 14;zsírtalanítási hulladék, amely különbözik a 11 01 13-tól;;;
11 01 98*;veszélyes anyagokat tartalmazó egyéb hulladék;;;
11 01 99;közelebbről meg nem határozott hulladék;;;
12 01 06*;ásványi alapú, halogénelemeket tartalmazó gépolaj (kivéve az emulziót és az oldatot);;;
