Derkovits u. 132.  - KTJ:102962486;;;;
1221-25/2025;;;;
Hulladék kód;Hulladék megnevezés;;;
02 01 10;fémhulladék;;;
02 02 03;fogyasztásra vagy feldolgozásra alkalmatlan anyag;;;
02 03 04;fogyasztásra vagy feldolgozásra alkalmatlan anyag;;;
02 05 01;fogyasztásra és feldolgozásra alkalmatlan anyag;;;
02 06 01;fogyasztásra vagy feldolgozásra alkalmatlan anyag;;;
02 06 02;tartósítószer hulladék;;;
02 07 01;a nyersanyagok mosásából, tisztításából és mechanikus aprításából származó hulladék;;;
02 07 02;szeszfőzés hulladéka;;;
02 07 04;fogyasztásra vagy feldolgozásra alkalmatlan anyag;;;
04 01 02;meszezési hulladék;;;
04 01 08;krómot tartalmazó cserzett bőrhulladék (kék hasíték, forgács, apríték, csiszolási por);;;
04 01 09;kidolgozási és kikészítési hulladék;;;
04 02 10;természetes alapanyagokból származó szerves anyag (pl. zsír, viasz);;;
04 02 15;kikészítésből származó hulladék, amely különbözik a 04 02 14-től;;;
04 02 16*;veszélyes anyagot tartalmazó színezék és pigment;;;
04 02 17;színezék és pigment, amely különbözik a 04 02 16-tól;;;
05 07 02;ként tartalmazó hulladék;;;
06 03 13*;nehézfémeket tartalmazó szilárd sók és oldataik;;;
06 03 14;szilárd sók és oldatai, amelyek különböznek a 06 03 11-től és a 06 03 13-tól;;;
06 03 16;fémoxidok, amelyek különböznek a 06 03 15-től;;;
06 04 05*;más nehézfémeket tartalmazó hulladék;;;
06 13 01*;szervetlen növényvédő szerek, faanyagvédő szerek és egyéb biocidok;;;
07 01 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 01 12;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap, amely különbözik a 07 01 11-től;;;
07 02 03*;halogénezett oldószer hulladék;;;
07 02 08*;egyéb reakciómaradék;;;
07 02 14*;veszélyes anyagokat tartalmazó adalékanyag hulladék;;;
07 02 15;adalékanyag hulladék, amely különbözik a 07 02 14-től;;;
07 03 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 03 08*;egyéb üstmaradék és reakciómaradék;;;
07 03 10*;egyéb szűrőpogácsák, kimerült felitató anyagok (abszorbensek);;;
07 04 03*;halogéntartalmú szerves oldószer, mosófolyadék és anyalúg;;;
07 04 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 04 13*;veszélyes anyagokat tartalmazó szilárd hulladék;;;
07 05 01*;vizes mosófolyadék és anyalúg;;;
07 05 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 05 12;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap, amely különbözik a 07 05 11-től;;;
07 05 14;szilárd hulladék, amely különbözik a 07 05 13-tól;;;
07 06 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 06 12;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap, amely különbözik a 07 06 11-től;;;
07 06 99;közelebbről meg nem határozott hulladék;;;
07 07 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
08 01 11*;szerves oldószereket vagy más veszélyes anyagokat tartalmazó festék- és lakk-hulladék;;;
08 01 12;festék- vagy lakk-hulladék, amely különbözik a 08 01 11-től;;;
08 01 13*;szerves oldószereket vagy más veszélyes anyagokat tartalmazó festék- és lakk-iszap;;;
08 01 14;festék- vagy lakk-iszap, amely különbözik a 08 01 13-tól;;;
