Reptéri út 6. - KTJ:101696714;;;;
GY/53/06245-32,36/2024;;;;
Hulladék kód;Hulladék megnevezés;;;
02 01 03;hulladékká vált növényi szövetek;;;
02 01 04;műanyaghulladék (kivéve a csomagolás);;;
02 01 99;közelebbről meg nem határozott hulladék;;;
02 02 01;Mosásból és tisztításból származó iszap;;;
02 04 99;közelebbről meg nem határozott hulladék;;;
02 06 01;fogyasztásra vagy feldolgozásra alkalmatlan anyag;;;
02 06 03;A folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap;;;
03 01 04*;veszélyes anyagokat tartalmazó fűrészpor, faforgács, darabos eselék, fa, forgácslap és furnér;;;
03 01 05;fűrészpor, faforgács, darabos eselék, fa, forgácslap és furnér, amely különbözik ;;;
03 03 08;hasznosításra szánt papír és karton válogatásából származó hulladék;;;
04 01 07;a folyékony hulladéknak a képződése helyén történő kezeléséből származó, krómot nem tartalmazó iszap;;;
04 01 08;krómot tartalmazó cserzett bőrhulladék (kék hasíték, forgács, apríték, csiszolási por);;;
04 02 09;társított anyagokból származó hulladék (impregnált textíliák, elasztomerek, plasztomerek);;;
04 02 19*;a folyékony hulladéknak a képződése helyén történő kezeléséből származó, veszélyes anyagokat tartalmazó iszap;;;
04 02 21;feldolgozatlan textilszál hulladék;;;
04 02 22;feldolgozott textilszál hulladék;;;
05 01 03*;tartályfenék iszap;;;
05 01 06*;üzem, vagy a berendezések karbantartásából származó olajos iszap;;;
06 01 01*;kénsav és kénessav;;;
06 01 02*;sósav;;;
06 01 04*;foszforsav és foszforossav;;;
06 01 05*;salétromsav és salétromossav;;;
06 01 06*;egyéb sav;;;
06 01 99;közelebbről meg nem határozott hulladék;;;
06 02 01*;kalcium-hidroxid;;;
06 02 03*;ammónium-hidroxid;;;
06 02 04*;nátrium- és kálium-hidroxid;;;
06 02 05*;egyéb lúg;;;
06 03 13*;nehézfémeket tartalmazó szilárd sók és oldataik;;;
06 03 14;szilárd sók és oldatai, amelyek különböznek a 06 03 11-től és a 06 03 13-tól;;;
06 03 15*;nehézfémeket tartalmazó fémoxid;;;
06 04 05*;más nehézfémeket tartalmazó hulladék;;;
06 05 02*;a folyékony hulladéknak a képződése helyén történő kezeléséből származó, veszélyes anyagokat tartalmazó iszap;;;
06 05 03;folyékony hulladéknak  a képződés helyén történő kezeléséből származó iszap, amely különbözik a 06502-től;;;
06 10 02*;veszélyes anyagokat tartalmazó hulladék;;;
06 13 02*;kimerült aktív szén (kivéve a 06 07 02);;;
06 13 03;műkorom (carbon black);;;
06 13 05*;korom;;;
07 01 03*;halogéntartalmú szerves oldószer, mosófolyadék és anyalúg;;;
07 01 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 01 08*;egyéb üstmaradék és reakciómaradék;;;
07 01 10*;egyéb szűrőpogácsák, kimerült felitató anyagok (abszorbensek);;;
07 01 11*;a folyékony hulladéknak a képződése helyén történő kezeléséből származó, veszélyes anyagokat tartalmazó iszap;;;
07 01 12;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap, amely különbözik a 07 01 11-től;;;
07 02 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 02 08*;egyéb üstmaradék és reakciómaradék;;;
07 02 13;hulladék műanyag;;;
07 02 14*;veszélyes anyagokat tartalmazó adalékanyag hulladék;;;
07 02 16*;veszélyes szerves szilíciumvegyületeket tartalmazó hulladék;;;
07 02 17;szerves szilíciumvegyületeket tartalmazó hulladék, amely különbözik a 07 02 16-tól;;;
07 02 99;közelebbről meg nem határozott hulladék;;;
07 03 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 03 08*;egyéb üstmaradék és reakciómaradék;;;
07 03 10*;egyéb szűrőpogácsák, kimerült felitató anyagok (abszorbensek);;;
07 05 01*;vizes mosófolyadék és anyalúg;;;
07 05 03*;halogéntartalmú szerves oldószer, mosófolyadék és anyalúg;;;
07 05 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 05 08*;egyéb üstmaradék és reakciómaradék;;;
07 05 13*;veszélyes anyagokat tartalmazó szilárd hulladék;;;
07 06 08*;egyéb üstmaradék és reakciómaradék;;;
07 06 10*;egyéb szűrőpogácsák, felitató anyagok (abszorbensek);;;
07 06 11*;a folyékony hulladéknak a képződése helyén történő kezeléséből származó, veszélyes anyagokat tartalmazó iszap;;;
07 06 12;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap, amely különbözik a 07 06 11-től;;;
07 07 03*;halogéntartalmú szerves oldószer, mosófolyadék és anyalúg;;;
07 07 04*;egyéb szerves oldószer, mosófolyadék és anyalúg;;;
07 07 08*;egyéb üstmaradék és reakciómaradék;;;
07 07 11*;a folyékony hulladéknak a telephelyen történő kezeléséből származó veszélyes anyagokat tartalmazó iszap;;;
08 01 11*;szerves oldószereket vagy más veszélyes anyagokat tartalmazó festék- és lakk-hulladék;;;
08 01 12;festék- vagy lakk-hulladék, amely különbözik a 08 01 11-től;;;
08 01 13*;szerves oldószereket vagy más veszélyes anyagokat tartalmazó festék- és lakk-iszap;;;
08 01 14;festék- vagy lakk-iszap, amely különbözik a 08 01 13-tól;;;
08 01 15*;szerves oldószereket vagy más veszélyes anyagokat tartalmazó festék és lakk tartalmú vizes iszap;;;
08 01 16;festék vagy lakk tartalmú vizes iszap, amely különbözik a 08 01 15-től;;;
08 01 17*;festékek és lakkok eltávolításából származó, szerves oldószereket vagy egyéb veszélyes anyagokat tartalmazó hulladék;;;
08 01 19*;szerves oldószereket, valamint más veszélyes anyagokat tartalmazó festék vagy lakk tartalmú vizes szuszpenziók;;;
08 02 01;por alapú bevonatok hulladéka;;;
08 02 02;kerámiaanyagokat tartalmazó vizes iszap;;;
08 03 12*;veszélyes anyagokat tartalmazó nyomdafesték hulladék;;;
