"PE/KTFO/05603-11/2023; PE/KTFO/02848-2/2025";;;;
Hulladék kód;Hulladék megnevezés;;;
 02 01 08*;veszélyes anyagokat tartalmazó, mezőgazdasági vegyi hulladékok;;;
 02 02 01;mosásból és tisztításból származó iszapok;;;
 02 02 03;fogyasztásra vagy feldolgozásra alkalmatlan anyagok;;;
 02 02 04;folyékony hulladékok keletkezésük helyén történő kezeléséből származó iszapok;;;
 02 02 99;közelebbről nem meghatározott hulladékok;;;
 04 01 03*;oldószertartalmú, zsírtalanítási, folyékony fázis nélküli hulladék;;;
 20 03 07;lom hulladék;;;
02 01 01;mosásból és tisztításból származó iszap;;;
02 01 03;hulladékká vált növényi szövetek;;;
02 01 04;műanyaghulladék (kivéve a csomagolás);;;
02 01 07;erdőgazdálkodás hulladéka;;;
02 01 09;agrokémiai hulladék, amely különbözik a 02 01 08-től;;;
02 01 10;fémhulladék;;;
02 01 99;közelebbről meg nem határozott hulladék;;;
02 03 01;mosásból, tisztításból, hámozásból, centrifugálásból és más szétválasztásokból származó iszap;;;
02 03 02;tartósítószer-hulladék;;;
02 03 03;oldószeres kivonatolásból származó hulladék;;;
02 03 04;fogyasztásra vagy feldolgozásra alkalmatlan anyag;;;
02 03 05;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap;;;
02 03 99;közelebbről meg nem határozott hulladék;;;
02 04 01;cukorrépa tisztításából és mosásából visszamaradt föld;;;
02 04 02;nem szabványos kalcium-karbonát;;;
02 04 03;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap;;;
02 04 99;közelebbről meg nem határozott hulladék;;;
02 05 02;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap;;;
02 05 99;közelebbről meg nem határozott hulladék;;;
02 06 01;fogyasztásra vagy feldolgozásra alkalmatlan anyag;;;
02 06 02;tartósítószer hulladék;;;
02 06 03;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap;;;
02 06 99;közelebbről meg nem határozott hulladék;;;
02 07 01;a nyersanyagok mosásából, tisztításából és mechanikus aprításából származó hulladék;;;
02 07 02;szeszfőzés hulladéka;;;
02 07 03;kémiai kezelésből származó hulladék;;;
02 07 04;fogyasztásra vagy feldolgozásra alkalmatlan anyag;;;
02 07 05;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap;;;
02 07 99;közelebbről meg nem határozott hulladék;;;
03 01 01;fakéreg és parafahulladék;;;
03 01 04*;veszélyes anyagokat tartalmazó fűrészpor, faforgács, darabos eselék, fa, forgácslap és furnér;;;
03 01 05;fűrészpor, faforgács, darabos eselék, fa, forgácslap és furnér, amely különbözik a 03 01 04-től;;;
03 01 99;közelebbről meg nem határozott hulladék;;;
03 02 01*;halogénezett szerves vegyületeket nem tartalmazó faanyagvédőszer;;;
03 02 02*;halogénezett szerves vegyületeket tartalmazó faanyagvédőszer;;;
03 02 03*;fém-organikus vegyületeket tartalmazó faanyagvédőszer;;;
03 02 04*;szervetlen vegyületeket tartalmazó faanyagvédőszer;;;
03 02 05*;veszélyes anyagokat tartalmazó, egyéb faanyagvédőszer;;;
03 02 99;közelebbről meg nem határozott faanyagvédőszer;;;
03 03 01;fakéreg és fahulladék;;;
03 03 02;zöldlúg iszap, amelyet főzőlúg regenerálásából nyertek ki;;;
03 03 05;papír újrafeldolgozásából származó festékeltávolítási (de-inking) iszap;;;
03 03 07;hulladék papír és karton rost szuszpenzió készítésénél mechanikai úton elválasztott maradék;;;
03 03 08;hasznosításra szánt papír és karton válogatásából származó hulladék;;;
03 03 09;hulladék mésziszap;;;
03 03 10;mechanikai elválasztásból származó szálmaradék, szál-, töltőanyag- és fedőanyag-iszap;;;
03 03 11;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap, amely különbözik a 03 03 10-től;;;
03 03 99;közelebbről meg nem határozott hulladék;;;
04 01 04;krómtartalmú cserzőlé;;;
04 01 05;krómot nem tartalmazó cserzőlé;;;
04 01 06;a folyékony hulladéknak a képződése helyén történő kezeléséből származó, krómot tartalmazó iszap;;;
04 01 07;a folyékony hulladéknak a képződése helyén történő kezeléséből származó, krómot nem tartalmazó iszap;;;
04 01 08;krómot tartalmazó cserzett bőrhulladék (kék hasíték, forgács, apríték, csiszolási por);;;
04 01 09;kidolgozási és kikészítési hulladék;;;
04 01 99;közelebbről meg nem határozott hulladék;;;
04 02 09;társított anyagokból származó hulladék (impregnált textíliák, elasztomerek, plasztomerek);;;
04 02 10;természetes alapanyagokból származó szerves anyag (pl. zsír, viasz);;;
04 02 14*;kikészítésből származó, szerves oldószert tartalmazó hulladék;;;
04 02 15;kikészítésből származó hulladék, amely különbözik a 04 02 14-től;;;
04 02 16*;veszélyes anyagot tartalmazó színezék és pigment;;;
04 02 17;színezék és pigment, amely különbözik a 04 02 16-tól;;;
04 02 19*;a folyékony hulladéknak a képződése helyén történő kezeléséből származó, veszélyes anyagokat tartalmazó iszap;;;
04 02 20;a folyékony hulladéknak a képződése helyén történő kezeléséből származó iszap, amely különbözik a 04 02 19-től;;;
04 02 21;feldolgozatlan textilszál hulladék;;;
04 02 22;feldolgozott textilszál hulladék;;;
04 02 99;közelebbről meg nem határozott hulladék;;;
